model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,pb-G2,mean,51.56947955604859,NA,48,0.3253493013972056
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,pb-G2,mean,38.38226569494993,NA,48,0.9900199600798403
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,G2,mean,5.478959501179816,NA,2,0.06460394831785192
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,G2,mean,5.39507425052534,NA,2,0.06737123549270721
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,T1_G2,mean,0.3482074865046189,0.23208802289360253,NA,0.2615
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,T1_G2,mean,0.3443509215634555,0.20762906400413417,NA,0.1965
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,T2,cov,31.845933526947476,22.884633241011183,NA,0.2075
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,T2,cov,23.5617209189211,24.652446244116494,NA,0.543
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,T1_G2,mean,9.453413687181381,6.102436274390067,NA,0.2125
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,T1_G2,mean,9.490419354765109,5.90886579217049,NA,0.182
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,T1_G2,mean,0.30489593339634513,0.23193916441013387,NA,0.322
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,T1_G2,mean,0.24345670185725363,0.21402963696416147,NA,0.419
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,T2,cov,23.161671976921912,21.017873560921274,NA,0.3875
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,T2,cov,22.619684255076848,24.6857738161943,NA,0.579
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,T1_G2,mean,0.3495483535621476,0.23657716472447857,NA,0.238
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,load,T1_G2,mean,0.3169354067395932,0.2163194946189976,NA,0.262
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,T2,cov,26.658582032039575,20.957820527154773,NA,0.297
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,load,T2,cov,49.46869823381598,25.41743810353036,NA,0.1215
